rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,87,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,IND Tank Plt,87,5,0,0,0,0,0,0,0,0,0,40,41,1,1,84,1,84,1,84,1,84,1,84,1,0,0,0,0,0,0,0,0,0,0
3,Tank Platoon,87,11,0,0,0,0,0,0,0,0,0,44,49,1,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TD Battery,87,1,0,0,0,0,0,0,0,0,0,45,49,1,1,7,1,7,1,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0
5,Lt SPG Btry,87,1,0,0,0,0,0,0,0,0,0,45,49,1,1,6,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Rifle Platoon,87,1,0,0,0,0,0,0,0,0,0,30,41,3,1,235,1,41,1,41,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0
7,AI Purchase***,87,1,1,0,0,0,0,0,0,0,0,39,49,5,2,48,1,1006,1,1066,1,1056,1,1061,1,39,1,41,1,0,0,0,0,0,0
8,Rifle Platoon,87,11,0,0,0,0,0,0,0,0,0,44,49,3,1,235,1,48,1,47,1,47,1,47,1,0,0,0,0,0,0,0,0,0,0
9,SMG Platoon,87,11,0,0,0,0,0,0,0,0,0,44,49,3,1,235,1,48,1,48,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Engineer Plt,87,1,0,0,0,0,0,0,0,0,0,30,49,3,1,61,1,61,1,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0
11,TD Section,87,1,0,0,0,0,0,0,0,0,0,45,49,1,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Guard Cav Trp,87,1,10,0,0,0,0,0,0,0,0,30,41,3,1,49,1,49,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Guard Cav Sqdrn,87,1,11,0,0,0,0,0,0,0,0,30,41,3,2,49,1,1012,1,1012,1,1012,1,32,1,226,1,0,0,0,0,0,0,0,0
14,Armored Car Sec,87,7,1,0,0,0,0,0,0,0,0,42,44,1,1,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Armored Car Plt,87,1,1,0,0,0,0,0,0,0,0,45,49,1,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Truck Platoon,87,1,0,0,0,0,0,0,0,0,0,30,49,4,1,11,1,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Truck Section,87,1,0,0,0,0,0,0,0,0,0,30,49,4,1,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
