id,name,nation,start_yr,end_yr,pscr,type,URID[1],URID[2],URID[3],URID[4],URID[5],URID[6],URID[7],URID[8],URID[9],URID[10],start_mo,end_mo,exp_mod,mor_mod,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16
1,USSR HQ,11,30,46,10,5,245,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Heavy Tank Co,11,33,46,1,2,23,1010,1010,1010,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gds Heavy Tk Co,11,42,44,1,2,23,1015,1015,1015,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Guards Tank Co,11,42,46,1,2,4,1017,1017,1017,0,0,0,0,0,0,1,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BT Company,11,31,41,1,2,2,3,3,1153,1153,1153,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rifle Company,11,30,46,3,2,60,58,1039,1039,1039,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mech Inf Co,11,42,46,3,2,62,58,68,68,43,43,43,1083,1083,1083,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Para Company,11,38,41,3,2,257,272,1117,1040,1040,1040,0,0,0,0,1,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Rifle Company+,11,38,46,3,2,60,58,433,1039,1039,1039,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Heavy Tank Pl,11,33,46,1,1,22,22,22,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Flame Tank Pl,11,35,46,1,1,10,10,10,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Hvy Tank Co(7),11,33,42,1,1,23,23,23,23,23,23,23,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hvy Tank Co(10),11,43,46,1,1,20,20,20,20,20,20,20,20,20,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TD Platoon,11,41,46,1,1,31,31,31,31,31,0,0,0,0,0,9,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gds Heavy Tk Pl,11,42,44,1,1,22,22,22,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mech Scout Sec,11,39,45,3,0,104,104,108,108,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Guards Tank Pl,11,42,46,1,1,4,4,4,0,0,0,0,0,0,0,1,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPAA Section,11,39,46,2,0,39,39,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AAA Platoon,11,39,46,0,1,54,54,54,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SPAA Platoon,11,37,46,2,1,39,39,39,39,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Armour Car Co,11,30,46,1,2,41,1023,1023,1023,1029,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mech Rifle Pl,11,42,46,3,1,60,60,60,43,43,43,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Armour Car Pl,11,30,46,1,1,41,41,41,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Halftrack Pl,11,42,46,4,0,43,43,43,43,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Carrier Section,11,39,45,4,0,108,108,108,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Lt Truck Pl,11,39,46,4,0,44,44,44,44,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lt Truck Sec,11,30,46,4,0,44,44,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Utility Vehicle,11,42,45,4,0,344,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Motorcycles,11,30,46,4,0,305,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,MG Section,11,30,46,3,1,610,610,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Mortar Platoon,11,30,46,2,0,55,55,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
