id,name,wclass,size,B02,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,1,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,2,1,0,0,8,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA37 L/78,6,0,6,2,0,5,0,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm M1 AA-Gun,4,0,6,2,1,6,13,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm RK Gun,6,0,6,2,1,3,1,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm HK Gun,6,0,6,2,1,3,1,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm Bofors L40,6,0,6,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm KwK 35 L47,6,0,6,2,1,5,1,0,12,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm M5 L53,6,0,6,2,1,6,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Bofors AAG,4,0,6,3,1,7,15,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,37mm SA18 M.37,5,0,6,2,1,0,1,0,6,30,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20mm (2) AA-Gun,4,0,4,2,1,3,14,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2 Pounder Gun,6,0,7,3,1,7,1,0,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47mm HK Gun,6,0,7,3,1,4,2,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,47mm mle.1937,6,0,7,3,1,9,2,0,6,45,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50mm PaK 38 L60,6,0,7,3,1,9,3,0,10,50,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0
