id,name,wclass,wclass,size,warhead,kill_HE,kill_AP,,pen_HE,pen_AP,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
1,Tp 1 Para Rifle,1,SPWOOB_WCLASS_INF_PRM,0,1,1,0,0,0,0,0,1,8
2,Type 100/40 SMG,1,SPWOOB_WCLASS_INF_PRM,0,1,5,0,0,0,0,0,1,3
3,13mm(2)T93 AAMG,4,SPWOOB_WCLASS_AA,0,1,14,0,1,0,0,0,17,40
4,2x8mm M30 AAMG,4,SPWOOB_WCLASS_AA,0,1,8,0,0,0,0,0,16,30
5,Type 38 Carbine,1,SPWOOB_WCLASS_INF_PRM,0,1,1,0,0,0,0,0,1,8
7,20mm (2) AA-Gun,4,SPWOOB_WCLASS_AA,0,2,14,0,1,3,0,0,18,30
8,Breda CM 20L65,19,*unknown value*,0,2,9,0,1,3,0,6,16,30
9,25mm SA34 L/72,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,5,0,0,18,35
10,37mm L50 Type 1,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,6,0,0,13,40
11,37mm L21 Type11,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,0,0,3,6,30
12,37mm L46 Type94,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,5,0,0,12,40
13,37mm L36 Type94,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,4,0,0,9,35
15,37mm L36 Type98,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,4,0,7,9,40
17,40mm Bofors AAG,4,SPWOOB_WCLASS_AA,0,3,15,0,1,7,0,0,14,46
18,37mm M6 L57,6,SPWOOB_WCLASS_MDM_GUN,0,2,1,0,1,6,0,0,14,40
19,2 pdr AA-Gun,4,SPWOOB_WCLASS_AA,0,3,14,0,1,2,0,0,10,40
24,47mm L48 Type 1,6,SPWOOB_WCLASS_MDM_GUN,0,3,2,0,1,7,0,12,12,50
25,47mm L53 Type 1,6,SPWOOB_WCLASS_MDM_GUN,0,3,2,0,1,8,0,12,13,50
28,81mm T97 Mortar,3,SPWOOB_WCLASS_TEAM,0,4,11,0,1,0,0,0,3,57
29,50mm Mle 1893,6,SPWOOB_WCLASS_MDM_GUN,0,3,3,0,1,2,0,0,3,70
30,HB 60mm M.35,3,SPWOOB_WCLASS_TEAM,0,4,7,0,1,0,0,0,3,30
31,65mm M13 Cannon,6,SPWOOB_WCLASS_MDM_GUN,0,4,4,0,2,2,4,3,6,142
32,75mm Krupp L18,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,0,5,0,6,120
36,75mm Type 90 FG,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,0,0,10,10,208
37,Brandt 27/31,3,SPWOOB_WCLASS_TEAM,0,4,11,0,1,0,0,0,3,50
42,75mm/47mm Dual,3,SPWOOB_WCLASS_TEAM,0,4,9,0,1,0,0,5,5,48
44,75mm Mle 1897,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,0,5,7,6,203
45,75mm Bofors M02,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,0,0,10,6,215
46,80mm Bofors AA,6,SPWOOB_WCLASS_MDM_GUN,0,5,7,0,2,12,0,0,12,90
49,75mm M3 L40,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,10,0,0,10,60
54,77mm FK-16 Gun,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,0,0,0,7,200
58,75mm M.23 Mrtr,3,SPWOOB_WCLASS_TEAM,0,4,9,0,1,0,0,0,3,24
59,75mm L60 Bofors,6,SPWOOB_WCLASS_MDM_GUN,0,4,5,0,2,14,0,17,15,90
67,3.7i Cannon L22,6,SPWOOB_WCLASS_MDM_GUN,0,5,9,0,1,0,13,0,6,110
70,105L40 BoforsFG,7,SPWOOB_WCLASS_LRG_GUN,0,5,11,0,2,14,0,14,10,211
71,105L22 BoforsFH,7,SPWOOB_WCLASS_LRG_GUN,0,5,11,0,2,0,0,12,6,207
72,Trench Mortar,7,SPWOOB_WCLASS_LRG_GUN,0,7,17,0,1,0,0,0,3,30
79,150mm Bofors FH,7,SPWOOB_WCLASS_LRG_GUN,0,8,21,0,3,0,0,0,6,209
84,Satchel Charge,2,SPWOOB_WCLASS_INF_SEC,0,10,20,0,18,0,15,0,15,1
86,Type 99 AT Mine,2,SPWOOB_WCLASS_INF_SEC,0,7,3,0,3,222,3,0,15,1
87,Type 91 Grenade,2,SPWOOB_WCLASS_INF_SEC,0,3,5,0,1,0,0,0,3,1
92,VB Rifle Grnd,2,SPWOOB_WCLASS_INF_SEC,0,3,3,0,1,0,0,0,2,2
93,Type 91 Rfl-Grn,2,SPWOOB_WCLASS_INF_SEC,0,3,5,0,1,222,0,0,2,3
95,7.5mm FM29 LMG,2,SPWOOB_WCLASS_INF_SEC,0,1,5,0,0,0,0,0,17,12
99,6.5 Madsen LMG,2,SPWOOB_WCLASS_INF_SEC,0,1,4,0,0,0,0,0,22,12
100,Colt 1917 HMG,3,SPWOOB_WCLASS_TEAM,0,1,5,0,0,0,0,0,19,30
101,15mm Besa TMG,5,SPWOOB_WCLASS_SML_GUN,0,1,10,0,1,2,0,0,26,40
104,150mm Tp 38 FH,7,SPWOOB_WCLASS_LRG_GUN,0,8,21,0,3,0,0,0,6,208
107,2in Mortar,3,SPWOOB_WCLASS_TEAM,0,3,5,0,0,0,0,0,3,10
108,Flamethrower,9,SPWOOB_WCLASS_FLAME_VHC,0,45,40,0,0,0,25,0,20,2
114,Pistol Type 94,1,SPWOOB_WCLASS_INF_PRM,0,0,1,0,0,0,0,0,0,1
115,15mm Triple AA,4,SPWOOB_WCLASS_AA,0,1,20,0,2,0,0,0,20,35
116,Browning HP,1,SPWOOB_WCLASS_INF_PRM,0,0,1,0,0,0,0,0,0,1
117,Vickers 8mm x2,4,SPWOOB_WCLASS_AA,0,1,9,0,0,0,0,0,23,30
131,30 cal BMG,5,SPWOOB_WCLASS_SML_GUN,0,1,5,0,0,0,0,0,20,10
137,Vickers CMG,5,SPWOOB_WCLASS_SML_GUN,0,1,5,0,0,0,0,0,23,30
138,7.92 Colt AAMG,4,SPWOOB_WCLASS_AA,0,1,5,0,0,0,0,0,19,30
139,30 cal AAMG,4,SPWOOB_WCLASS_AA,0,1,5,0,0,0,0,0,20,24
140,50 cal M2 AAMG,4,SPWOOB_WCLASS_AA,0,1,10,0,1,0,0,0,23,40
144,.303 Carbine,1,SPWOOB_WCLASS_INF_PRM,0,1,1,0,0,0,0,0,1,8
146,Sniper Rifle,1,SPWOOB_WCLASS_INF_PRM,0,1,2,0,0,0,0,0,30,15
