id,name,nation,start_yr,end_yr,pscr,type,URID[1],URID[2],URID[3],URID[4],URID[5],URID[6],URID[7],URID[8],URID[9],URID[10],start_mo,end_mo,exp_mod,mor_mod,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16
1,Hungarian HQ,38,30,46,10,5,245,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Medium Tank Co,38,42,46,1,2,5,5,1010,1010,1010,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Heavy Tank Co,38,42,42,1,2,162,1011,1011,0,0,0,0,0,0,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Infantry Co +,38,39,45,3,2,52,84,75,75,1039,1039,1039,1084,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Infantry Co,38,30,46,3,2,52,75,75,1039,1039,1039,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Infantry Co ++,38,41,45,3,2,57,84,75,75,1058,1039,1039,1035,1038,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Light Tank Co,38,36,45,1,2,1,1,1008,1008,1008,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Light Tank Plt,38,35,46,1,1,1,1,1,1,1,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Medium Tank Pl,38,42,46,1,1,5,5,5,5,5,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Heavy Tank Pl,38,42,43,1,1,162,162,162,162,162,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mot Infantry Co,38,41,45,3,2,57,19,1037,1037,1037,1102,1038,19,0,0,7,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Assault Gun Pl,38,42,46,1,1,164,164,164,164,164,0,0,0,0,0,8,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Assault Gun Co,38,42,45,1,2,164,164,1013,1013,1013,0,0,0,0,0,8,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Assault Gun Sec,38,42,46,1,1,164,164,0,0,0,0,0,0,0,0,8,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPAA Platoon,38,42,45,2,0,15,15,0,0,0,0,0,0,0,0,2,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AA-Gun Platoon,38,30,46,2,0,33,33,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Cavalry Troop,38,30,45,3,1,69,69,69,69,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Field Gun Bty,38,30,46,2,1,36,36,36,36,75,240,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Medium Tank Sec,38,42,45,1,0,5,5,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,AA-Gun Battery,38,30,45,2,2,33,33,52,1019,1019,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mortar Battery,38,30,45,2,2,39,39,1040,75,1033,1033,1033,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Truck Platoon,38,39,45,4,0,19,19,19,19,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Truck Sec,38,39,45,4,0,19,19,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Truck,38,39,45,4,0,19,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AT-Gun Section,38,36,45,2,0,28,28,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Assault Gun Sec,38,43,45,1,1,12,12,0,0,0,0,0,0,0,0,7,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
