id,name,nation,start_yr,end_yr,pscr,type,URID[1],URID[2],URID[3],URID[4],URID[5],URID[6],URID[7],URID[8],URID[9],URID[10],start_mo,end_mo,exp_mod,mor_mod,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16
1,Squadra Comando,4,43,46,10,5,250,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OA Veicolo,4,43,45,2,1,48,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carro Leggero,4,43,45,1,0,507,507,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pl Carro Legg,4,43,45,1,1,507,507,60,502,506,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Co Carro Legg,4,43,45,1,2,508,507,1008,1008,1008,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Carro Appoggio,4,43,46,1,1,432,432,73,73,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sez Semovente,4,43,45,1,0,432,432,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Semovente Pl/4,4,43,45,1,1,40,9,9,432,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Semovente Pl/3,4,43,45,1,0,260,260,260,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Co Semovente,4,43,45,1,2,260,1014,1014,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Semovente Pes,4,43,45,1,0,74,74,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pl Semov Pes,4,43,45,1,1,74,74,74,74,464,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C/C Pesante Mot,4,43,45,2,1,434,434,434,417,417,417,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Semovente C/A,4,43,45,2,0,11,12,12,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Contraerea,4,43,45,2,0,17,17,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Pl Fanteria,4,43,45,3,1,153,158,155,156,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Co Fanteria,4,43,45,3,2,153,158,161,21,13,1023,1023,1023,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Autoblindo,4,43,45,1,0,495,495,0,0,0,0,0,0,0,0,10,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Meccanizzata-W,4,43,45,4,0,63,63,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Meccanizzata-T,4,43,45,4,0,474,474,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Camion Pesanti,4,43,45,4,0,69,69,0,0,0,0,0,0,0,0,10,12,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Zappatori Coraz,4,43,45,3,1,145,145,145,145,63,63,63,63,0,0,10,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Controcarro/M,4,43,45,2,0,153,153,153,68,68,68,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sez Mitragliera,4,43,45,3,0,655,655,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Mortaio (1),4,43,45,2,0,621,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Obice Montagna,4,43,45,2,0,19,19,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Pl Mitragliera,4,43,45,3,0,21,21,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Mitragliera Mot,4,43,45,3,0,21,21,68,68,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,MG (1),4,43,46,3,0,21,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
