id,name,wclass,size,B02,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,M1930 Rifle,1,0,1,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PPSh-41 SMG,1,0,1,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,1,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NahVtdgW,3,0,1,3,0,0,11,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7.92mm MG34 BMG,5,0,2,1,0,0,8,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25mm SA34 L/72,6,0,6,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,6,2,1,3,19,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20mm FK-A wz.38,5,0,3,2,1,4,8,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA35 L/53,6,0,6,2,0,5,0,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20mm Polsten AA,4,0,0,2,1,3,12,0,18,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Polsten (4) AA,4,0,0,2,1,3,19,0,18,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm wz.18 L21,6,0,6,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm wz.36 L45,6,0,6,2,1,4,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
