id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,unit_ids[0],unit_cnt[0],unit_ids[1],unit_cnt[1],unit_ids[2],unit_cnt[2],unit_ids[3],unit_cnt[3],unit_ids[4],unit_cnt[4],unit_ids[5],unit_cnt[5],unit_ids[6],unit_cnt[6],unit_ids[7],unit_cnt[7],unit_ids[8],unit_cnt[8],unit_ids[9],unit_cnt[9]
1,41,Thailand HQ,0,average,4,force HQ,6,force HQ,1930,1,1946,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,41,Defence Support,0,average,2,company,4,miscellaneous,1930,1,1946,68,1,235,1,1191,1,1191,1,1156,1,1160,1,1168,1,1167,1,1184,1,1180,1
65,41,Coast Patrol,0,average,2,company,4,miscellaneous,1930,1,1946,193,1,190,1,1122,1,1143,1,0,0,0,0,0,0,0,0,0,0,0,0
70,41,Utility Vehicle,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,41,2 Util.Vehicles,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,262,1,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,41,1 Medium Truck,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,41,2 Medium Trucks,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,263,1,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,41,1 Heavy Truck,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,41,2 Heavy Trucks,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1930,1,1946,269,1,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,41,Observer Team,0,average,1,platoon,2,artillery,1930,1,1946,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,41,Motor FOO Team,0,average,1,platoon,2,artillery,1930,1,1946,235,1,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,41,FOO Vehicle,0,average,1,platoon,2,artillery,1930,1,1946,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,41,Border Patrol,0,average,0,SPWOOB_FTYPE_UNKNOWN,3,infantry,1930,1,1946,72,1,72,1,72,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0
85,41,Garrison Patrol,0,average,0,SPWOOB_FTYPE_UNKNOWN,3,infantry,1930,1,1946,57,1,57,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,41,Garrison Pl,0,average,1,platoon,3,infantry,1930,1,1946,54,1,54,1,54,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0
