id,name,nation,start_yr,end_yr,pscr,type,URID[1],URID[2],URID[3],URID[4],URID[5],URID[6],URID[7],URID[8],URID[9],URID[10],start_mo,end_mo,exp_mod,mor_mod,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16
1,Greek HQ,31,30,46,10,5,245,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Armoured Cars,31,30,41,1,1,345,345,58,60,14,14,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Infantry Co,31,30,41,3,2,161,330,1200,1036,1036,1036,1221,1034,1255,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Infantry Co (-),31,30,41,3,2,161,1200,1036,1036,1036,1231,1255,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Motorised Co,31,40,41,3,2,161,15,1180,1180,1181,1130,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Armoured Recon,31,30,41,1,2,345,1002,1002,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Infantry Co,31,41,45,3,2,162,41,1197,1036,69,1036,69,1036,37,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Armour Car Pl,31,46,46,1,1,373,373,373,373,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Armour Car Co,31,46,46,1,2,373,373,1010,1010,1010,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Motorised Co +,31,41,41,3,2,161,1180,1180,1181,1015,1221,1138,1130,1251,1261,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Motorised Suppt,31,41,41,3,2,161,15,1015,1221,1138,1130,1267,1268,1251,1261,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Utility Vehicle,31,30,46,4,0,85,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,AT Gun Section,31,33,41,0,0,18,18,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
