id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
0,255, ,105,fort,13,fortification,1900,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,Partisans,113,*unknown value*,14,other,1930,1,1946,12,1,10,0,13,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,43,Partisans,113,*unknown value*,14,other,1941,1,1946,12,1,10,0,13,6,0,0,0,0,0,0,9,0,0,0,0,2,70,0,0,0,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,43,Partisans,113,*unknown value*,14,other,1939,1,1946,12,1,10,0,21,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,87,10,0,85,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,43,Partisans,113,*unknown value*,14,other,1941,1,1946,12,1,10,0,21,6,0,0,0,0,0,0,9,0,0,0,0,2,70,0,0,0,87,10,0,85,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,43,Partisans,113,*unknown value*,14,other,1942,1,1946,12,1,10,0,14,6,0,0,0,0,0,0,9,0,0,0,0,2,70,0,0,0,87,10,0,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,43,Partisans,89,team,10,transport,1930,1,1939,12,1,10,0,17,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,87,10,0,98,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,43,Partisans,89,team,10,transport,1939,1,1946,12,1,10,0,25,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,87,10,0,98,70,0,85,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,43,Pioneers,113,*unknown value*,14,other,1930,1,1946,12,1,10,0,21,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,87,10,0,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,43,Pioneers,113,*unknown value*,14,other,1941,1,1946,12,1,10,0,21,6,0,0,0,0,0,0,9,0,0,0,0,2,70,0,0,0,87,10,0,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,43,Tank Hunters,54,AT infantry,5,anti-tank,1930,1,1946,12,0,3,0,10,6,0,0,0,0,0,0,9,0,0,0,0,84,3,0,0,0,1,60,0,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,43,Tank Hunters,54,AT infantry,5,anti-tank,1944,1,1946,12,0,3,0,11,6,0,0,0,0,0,0,9,0,0,0,0,89,0,0,6,0,2,60,0,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,Tank Hunters,54,AT infantry,5,anti-tank,1942,1,1946,12,0,3,0,9,6,0,0,0,0,0,0,9,0,0,0,0,86,0,0,4,0,2,60,0,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,PTRS ATR Team,54,AT infantry,5,anti-tank,1943,1,1946,12,0,2,0,8,6,0,2,0,0,0,0,9,0,0,0,0,143,0,50,0,0,2,50,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,43,Support Team,95,glider,11,air force,1930,1,1946,12,1,10,0,18,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,98,70,0,87,10,0,93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,43,Support Team,95,glider,11,air force,1939,1,1946,12,1,10,0,18,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,98,70,0,87,10,0,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,43,Support Team,95,glider,11,air force,1939,1,1946,12,1,10,0,16,6,0,0,0,0,0,0,9,0,0,0,0,1,70,0,0,0,93,20,0,40,12,0,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,43,Maxim HMG,9,machine gun,0,infantry,1930,1,1946,12,0,5,0,16,4,0,0,0,1,1,0,9,0,0,0,0,122,90,0,0,0,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,43,Maxim HMG [2],9,machine gun,0,infantry,1930,1,1946,12,0,5,0,17,4,0,0,0,1,1,0,9,0,0,0,0,122,90,0,0,0,122,90,0,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,43,Scouts,41,light mortar,4,artillery,1930,1,1946,12,0,4,0,13,7,0,0,0,0,0,0,9,0,0,0,0,1,50,0,0,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,43,Scouts,41,light mortar,4,artillery,1942,1,1946,12,0,4,0,13,7,0,0,0,0,0,0,9,0,0,0,0,2,50,0,0,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,43,Scouts,41,light mortar,4,artillery,1942,1,1946,12,0,4,0,21,7,0,0,0,0,0,0,9,0,0,0,0,2,50,0,0,0,87,4,0,85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
